customer_id,signup_date,region,acquisition_channel,loyalty_score
CUST01949,2024-01-01,West,Organic Search,0.8825369309907063
CUST02259,2024-01-01,West,Referral,0.98
CUST03674,2024-01-01,South,Paid Social,0.504579692094893
CUST01409,2024-01-01,South,Email,0.6260306838856637
CUST02442,2024-01-01,Midwest,Organic Search,0.13482924683336955
CUST01488,2024-01-01,South,Organic Search,0.14377219995476442
CUST02316,2024-01-01,South,Paid Social,0.40699598176580487
CUST01482,2024-01-01,South,Direct,0.4222546964904029
CUST01739,2024-01-02,South,Organic Search,0.6576897100584752
CUST03191,2024-01-02,South,Paid Social,0.638492824055333
CUST01913,2024-01-02,West,Paid Social,0.49102876223693726
CUST01996,2024-01-02,Northeast,Paid Social,0.3687174163478236
CUST00773,2024-01-03,West,Paid Social,0.24091567980017925
CUST03217,2024-01-03,Midwest,Direct,0.22229930638892575
CUST02628,2024-01-03,Midwest,Direct,0.19955451668415275
CUST01622,2024-01-03,Midwest,Referral,0.5282874638438302
CUST01294,2024-01-03,South,Organic Search,0.98
CUST00901,2024-01-03,Midwest,Paid Social,0.7208047771563357
CUST01550,2024-01-03,West,Organic Search,0.4355376311495977
CUST02789,2024-01-03,Northeast,Paid Social,0.5209330731101156
CUST03234,2024-01-03,Midwest,Direct,0.6753413154751728
CUST01237,2024-01-03,West,Paid Social,0.32376375810277647
CUST00381,2024-01-03,West,Referral,0.5900490034075097
CUST00846,2024-01-03,South,Organic Search,0.6011794120005821
CUST00845,2024-01-03,Northeast,Email,0.435620317242866
CUST02646,2024-01-03,West,Paid Social,0.27388670864873044
CUST01190,2024-01-04,Midwest,Email,0.5197962445205462
CUST02401,2024-01-04,South,Paid Social,0.4818131195125172
CUST00465,2024-01-04,Northeast,Paid Social,0.70256183084072
CUST00575,2024-01-04,South,Paid Social,0.21940200296905782
CUST00707,2024-01-05,West,Organic Search,0.43462920068020333
CUST03399,2024-01-05,South,Referral,0.5289864504153412
CUST01279,2024-01-05,Midwest,Email,0.5434643254962097
CUST00104,2024-01-05,West,Direct,0.6359568386596511
CUST03725,2024-01-05,West,Email,0.5374631046262335
CUST01175,2024-01-05,South,Paid Social,0.569561736434516
CUST01807,2024-01-05,South,Referral,0.5407186015767955
CUST02202,2024-01-05,West,Direct,0.5464074151361406
CUST01070,2024-01-06,Midwest,Referral,0.5845961476713651
CUST01532,2024-01-06,Northeast,Organic Search,0.659727852209728
CUST03799,2024-01-06,South,Organic Search,0.5082850020103886
CUST00303,2024-01-06,Midwest,Paid Social,0.5272438598411704
CUST01763,2024-01-06,Northeast,Organic Search,0.3879716709624248
CUST02443,2024-01-06,West,Paid Social,0.37415695047116915
CUST03904,2024-01-07,South,Paid Social,0.3047974429505282
CUST01682,2024-01-07,Northeast,Email,0.9156030087266023
CUST00790,2024-01-07,Midwest,Direct,0.5373096111707957
CUST00801,2024-01-07,West,Paid Social,0.634198659089418
CUST03822,2024-01-07,West,Direct,0.5072174563788899
CUST01121,2024-01-08,Northeast,Paid Social,0.7778398611730749
CUST00839,2024-01-08,Midwest,Direct,0.7796887300767308
CUST03103,2024-01-08,Northeast,Paid Social,0.8784367533936459
CUST00410,2024-01-08,West,Organic Search,0.5837582973452973
CUST03136,2024-01-09,South,Email,0.8148559718002527
CUST00889,2024-01-09,Northeast,Email,0.8856145660435624
CUST01038,2024-01-09,Northeast,Referral,0.44825409148695994
CUST02975,2024-01-10,South,Organic Search,0.31878979994659784
CUST00415,2024-01-10,Midwest,Paid Social,0.5664369933590848
CUST01652,2024-01-10,Northeast,Organic Search,0.6107716392700638
CUST01624,2024-01-10,West,Organic Search,0.37834648505750035
CUST03505,2024-01-10,West,Email,0.98
CUST03898,2024-01-10,West,Referral,0.4233772772249882
CUST00478,2024-01-10,Northeast,Paid Social,0.5061076609163675
CUST01366,2024-01-10,Midwest,Organic Search,0.4304556209647508
CUST02090,2024-01-11,Northeast,Organic Search,0.5241928921405448
CUST01594,2024-01-11,Northeast,Direct,0.2844743685800843
CUST00233,2024-01-11,Northeast,Direct,0.6798246967998225
CUST03858,2024-01-11,South,Email,0.1607410974785639
CUST02171,2024-01-12,West,Direct,0.8121150540376251
CUST00540,2024-01-12,South,Referral,0.2176014845699552
CUST03788,2024-01-12,West,Paid Social,0.5058910734928569
CUST01529,2024-01-12,West,Paid Social,0.3414745130709679
CUST03804,2024-01-12,South,Referral,0.11820018227778817
CUST00300,2024-01-12,South,Direct,0.5306343814519169
CUST01167,2024-01-12,Northeast,Referral,0.15055653253504764
CUST03947,2024-01-13,Northeast,Direct,0.4012774031777846
CUST00272,2024-01-13,South,Organic Search,0.7505309811114043
CUST03309,2024-01-13,Northeast,Paid Social,0.4414187228569041
CUST01744,2024-01-13,South,Direct,0.3951091574341921
CUST01783,2024-01-13,West,Paid Social,0.4587255143341938
CUST02261,2024-01-13,West,Paid Social,0.39444884441813577
CUST03805,2024-01-13,South,Organic Search,0.21321252519300926
CUST00369,2024-01-13,Midwest,Paid Social,0.48693865356690386
CUST03119,2024-01-13,Northeast,Email,0.35725248416247934
CUST00170,2024-01-13,South,Email,0.4602214926229868
CUST02138,2024-01-13,West,Organic Search,0.432570752422558
CUST01180,2024-01-14,South,Paid Social,0.11252297701940922
CUST00821,2024-01-14,Midwest,Email,0.5121530195288821
CUST03997,2024-01-14,South,Organic Search,0.608505318102968
CUST01399,2024-01-14,South,Direct,0.551455183018175
CUST00429,2024-01-14,South,Paid Social,0.3824071926507804
CUST02712,2024-01-14,Northeast,Organic Search,0.5879482791206356
CUST03442,2024-01-14,West,Direct,0.6396970314119508
CUST00454,2024-01-14,South,Organic Search,0.3114661295707842
CUST02636,2024-01-15,Northeast,Paid Social,0.5223509394882919
CUST03486,2024-01-15,West,Organic Search,0.5706733172054079
CUST02410,2024-01-15,Northeast,Email,0.7648566384139975
CUST02469,2024-01-15,West,Paid Social,0.5291013105263234
CUST02329,2024-01-15,West,Direct,0.5177805672430865
CUST02223,2024-01-15,Midwest,Paid Social,0.2748089788631657
CUST00830,2024-01-16,South,Referral,0.5886082348511816
CUST01493,2024-01-16,West,Referral,0.5529719018112245
CUST01869,2024-01-17,South,Email,0.1319176606957606
CUST01944,2024-01-17,South,Paid Social,0.9651823433430629
CUST00138,2024-01-17,South,Organic Search,0.48832615094632537
CUST01590,2024-01-17,Midwest,Paid Social,0.25650462942757873
CUST03537,2024-01-17,Midwest,Direct,0.5464287577287174
CUST03458,2024-01-17,South,Organic Search,0.13237310630894483
CUST01300,2024-01-17,Northeast,Email,0.9206279066781002
CUST02559,2024-01-17,Northeast,Organic Search,0.8856665888934212
CUST02951,2024-01-18,Northeast,Organic Search,0.40290436272927793
CUST00787,2024-01-18,South,Paid Social,0.31505315249997856
CUST01536,2024-01-18,South,Direct,0.25108341346370955
CUST02499,2024-01-18,West,Paid Social,0.3190399832522548
CUST00385,2024-01-18,Northeast,Organic Search,0.653470510931017
CUST02263,2024-01-18,Midwest,Direct,0.6505442609721985
CUST03682,2024-01-18,Midwest,Organic Search,0.9330341663012761
CUST00147,2024-01-19,Northeast,Referral,0.30463804727697497
CUST00663,2024-01-20,Midwest,Organic Search,0.5001547418469483
CUST00970,2024-01-20,Northeast,Email,0.2375780938283758
CUST02764,2024-01-20,South,Email,0.8427348478336609
CUST03320,2024-01-20,Midwest,Organic Search,0.1780297633336122
