order_id,product_id,quantity,unit_price,unit_cost
ORD000001,PROD0123,1,16.06,9.44
ORD000001,PROD0112,3,193.74,86.93
ORD000001,PROD0109,2,174.7,84.57
ORD000001,PROD0039,2,89.98,43.16
ORD000002,PROD0127,3,14.46,7.43
ORD000002,PROD0039,2,89.98,43.16
ORD000002,PROD0150,1,74.71,46.35
ORD000003,PROD0029,1,128.68,74.05
ORD000003,PROD0079,2,18.53,7.77
ORD000003,PROD0054,1,18.76,8.76
ORD000003,PROD0099,3,40.56,19.04
ORD000004,PROD0046,3,36.63,17.53
ORD000004,PROD0040,1,138.94,60.98
ORD000005,PROD0015,1,372.17,193.63
ORD000005,PROD0134,3,74.42,32.05
ORD000005,PROD0021,3,208.3,130.9
ORD000005,PROD0088,3,31.43,13.99
ORD000006,PROD0116,2,94.4,57.33
ORD000006,PROD0056,1,80.46,45.5
ORD000007,PROD0026,2,114.13,69.95
ORD000008,PROD0084,1,53.89,34.97
ORD000009,PROD0059,3,78.45,50.09
ORD000009,PROD0067,2,61.53,24.76
ORD000009,PROD0120,3,78.25,38.9
ORD000009,PROD0095,2,30.14,18.71
ORD000010,PROD0031,2,87.36,51.43
ORD000010,PROD0050,1,133.52,57.21
ORD000010,PROD0116,2,94.4,57.33
ORD000010,PROD0035,1,41.82,21.85
ORD000011,PROD0033,3,127.27,59.34
ORD000012,PROD0087,2,41.1,20.84
ORD000013,PROD0149,3,72.35,42.29
ORD000013,PROD0125,1,187.58,111.43
ORD000014,PROD0034,1,96.25,51.91
ORD000014,PROD0129,3,77.59,42.13
ORD000014,PROD0149,3,72.35,42.29
ORD000015,PROD0066,3,85.71,46.83
ORD000015,PROD0102,1,93.28,45.98
ORD000015,PROD0063,1,83.84,38.12
ORD000015,PROD0043,2,18.2,10.88
ORD000016,PROD0045,2,136.06,80.87
ORD000016,PROD0099,3,40.56,19.04
ORD000016,PROD0131,3,70.64,44.46
ORD000016,PROD0005,2,225.48,93.74
ORD000017,PROD0079,3,18.53,7.77
ORD000017,PROD0106,2,128.95,74.79
ORD000017,PROD0119,3,95.02,47.18
ORD000017,PROD0117,1,78.26,39.67
ORD000018,PROD0070,2,37.65,20.8
ORD000018,PROD0049,1,132.39,77.03
ORD000018,PROD0028,2,79.76,44.35
ORD000018,PROD0055,1,37.28,17.9
ORD000019,PROD0022,2,338.23,203.21
ORD000019,PROD0096,3,15.1,7.42
ORD000019,PROD0097,1,12.93,6.99
ORD000020,PROD0040,1,138.94,60.98
ORD000020,PROD0023,3,165.57,84.69
ORD000020,PROD0062,2,72.44,35.5
ORD000021,PROD0035,3,41.82,21.85
ORD000021,PROD0129,2,77.59,42.13
ORD000022,PROD0093,2,53.94,27.18
ORD000022,PROD0024,1,458.42,189.2
ORD000022,PROD0123,1,16.06,9.44
ORD000023,PROD0003,1,485.69,247.6
ORD000024,PROD0030,3,24.29,11.94
ORD000024,PROD0048,3,85.43,53.73
ORD000024,PROD0142,3,30.05,12.41
ORD000025,PROD0020,1,301.63,183.8
ORD000025,PROD0121,1,17.06,10.6
ORD000025,PROD0105,1,191.65,80.68
ORD000025,PROD0079,3,18.53,7.77
ORD000026,PROD0144,3,38.4,23.94
ORD000026,PROD0089,1,46.73,26.85
ORD000026,PROD0079,3,18.53,7.77
ORD000027,PROD0148,2,14.44,6.79
ORD000027,PROD0012,2,454.79,214.91
ORD000027,PROD0105,3,191.65,80.68
ORD000027,PROD0057,2,69.32,27.96
ORD000028,PROD0122,3,195.81,120.55
ORD000028,PROD0120,3,78.25,38.9
ORD000029,PROD0047,3,141.08,77.53
ORD000029,PROD0070,1,37.65,20.8
ORD000029,PROD0114,2,29.31,11.97
ORD000030,PROD0135,3,17.66,8.98
ORD000030,PROD0039,2,89.98,43.16
ORD000030,PROD0088,2,31.43,13.99
ORD000030,PROD0133,2,52.92,25.7
ORD000031,PROD0005,3,225.48,93.74
ORD000032,PROD0106,2,128.95,74.79
ORD000033,PROD0034,2,96.25,51.91
ORD000033,PROD0024,2,458.42,189.2
ORD000033,PROD0136,1,26.27,14.55
ORD000033,PROD0026,3,114.13,69.95
ORD000034,PROD0059,1,78.45,50.09
ORD000035,PROD0050,1,133.52,57.21
ORD000035,PROD0061,2,13.12,6.32
ORD000035,PROD0013,3,437.92,280.0
ORD000035,PROD0125,1,187.58,111.43
ORD000036,PROD0078,1,36.12,19.97
ORD000036,PROD0010,2,334.81,212.63
ORD000036,PROD0147,1,19.55,11.31
ORD000037,PROD0055,3,37.28,17.9
ORD000038,PROD0078,2,36.12,19.97
ORD000039,PROD0135,3,17.66,8.98
ORD000040,PROD0077,3,29.52,18.02
ORD000040,PROD0034,1,96.25,51.91
ORD000041,PROD0006,2,434.95,176.52
ORD000041,PROD0049,3,132.39,77.03
