order_id,customer_id,order_date,status,region,acquisition_channel
ORD000001,CUST01949,2024-01-01,completed,West,Organic Search
ORD000002,CUST01949,2024-01-01,returned,West,Organic Search
ORD000003,CUST01949,2024-01-05,completed,West,Organic Search
ORD000004,CUST01949,2024-01-14,completed,West,Organic Search
ORD000005,CUST01949,2024-02-02,completed,West,Organic Search
ORD000006,CUST01949,2024-03-05,completed,West,Organic Search
ORD000007,CUST01949,2024-03-12,completed,West,Organic Search
ORD000008,CUST01949,2024-03-28,completed,West,Organic Search
ORD000009,CUST02259,2024-01-28,completed,West,Referral
ORD000010,CUST02259,2024-02-19,completed,West,Referral
ORD000011,CUST02259,2024-03-01,returned,West,Referral
ORD000012,CUST02259,2024-03-02,completed,West,Referral
ORD000013,CUST02259,2024-05-04,completed,West,Referral
ORD000014,CUST02259,2024-05-22,completed,West,Referral
ORD000015,CUST03674,2024-02-12,completed,South,Paid Social
ORD000016,CUST03674,2024-02-13,returned,South,Paid Social
ORD000017,CUST03674,2024-02-19,completed,South,Paid Social
ORD000018,CUST03674,2024-03-18,completed,South,Paid Social
ORD000019,CUST03674,2024-04-24,completed,South,Paid Social
ORD000020,CUST03674,2024-06-04,completed,South,Paid Social
ORD000021,CUST01409,2024-04-30,completed,South,Email
ORD000022,CUST01409,2024-08-11,completed,South,Email
ORD000023,CUST01409,2024-08-16,completed,South,Email
ORD000024,CUST01409,2025-01-01,completed,South,Email
ORD000025,CUST02442,2024-02-02,completed,Midwest,Organic Search
ORD000026,CUST01488,2024-03-17,completed,South,Organic Search
ORD000027,CUST01488,2024-05-02,completed,South,Organic Search
ORD000028,CUST02316,2024-03-07,completed,South,Paid Social
ORD000029,CUST02316,2024-03-09,completed,South,Paid Social
ORD000030,CUST02316,2024-03-22,completed,South,Paid Social
ORD000031,CUST02316,2024-03-24,completed,South,Paid Social
ORD000032,CUST02316,2024-04-08,cancelled,South,Paid Social
ORD000033,CUST02316,2024-04-12,completed,South,Paid Social
ORD000034,CUST01482,2024-01-05,completed,South,Direct
ORD000035,CUST01482,2024-01-16,cancelled,South,Direct
ORD000036,CUST01482,2024-01-19,completed,South,Direct
ORD000037,CUST01482,2024-01-19,completed,South,Direct
ORD000038,CUST01482,2024-01-20,completed,South,Direct
ORD000039,CUST01482,2024-02-02,completed,South,Direct
ORD000040,CUST01482,2024-02-05,completed,South,Direct
ORD000041,CUST01482,2024-02-06,returned,South,Direct
ORD000042,CUST01482,2024-02-18,returned,South,Direct
ORD000043,CUST01739,2024-01-03,completed,South,Organic Search
ORD000044,CUST01739,2024-01-12,completed,South,Organic Search
ORD000045,CUST01739,2024-01-20,returned,South,Organic Search
ORD000046,CUST01739,2024-01-25,completed,South,Organic Search
ORD000047,CUST01739,2024-01-31,completed,South,Organic Search
ORD000048,CUST01739,2024-02-04,completed,South,Organic Search
ORD000049,CUST01739,2024-02-15,completed,South,Organic Search
ORD000050,CUST03191,2024-01-14,completed,South,Paid Social
