product_id,category,unit_price,unit_cost,product_name
PROD0001,Electronics,393.66,179.33,ELEC-0001
PROD0002,Electronics,216.88,124.55,ELEC-0002
PROD0003,Electronics,485.69,247.6,ELEC-0003
PROD0004,Electronics,268.08,121.99,ELEC-0004
PROD0005,Electronics,225.48,93.74,ELEC-0005
PROD0006,Electronics,434.95,176.52,ELEC-0006
PROD0007,Electronics,354.42,165.98,ELEC-0007
PROD0008,Electronics,259.01,121.84,ELEC-0008
PROD0009,Electronics,224.03,120.24,ELEC-0009
PROD0010,Electronics,334.81,212.63,ELEC-0010
PROD0011,Electronics,192.81,105.32,ELEC-0011
PROD0012,Electronics,454.79,214.91,ELEC-0012
PROD0013,Electronics,437.92,280.0,ELEC-0013
PROD0014,Electronics,429.85,233.18,ELEC-0014
PROD0015,Electronics,372.17,193.63,ELEC-0015
PROD0016,Electronics,314.74,202.57,ELEC-0016
PROD0017,Electronics,155.52,93.02,ELEC-0017
PROD0018,Electronics,272.87,121.21,ELEC-0018
PROD0019,Electronics,336.03,200.98,ELEC-0019
PROD0020,Electronics,301.63,183.8,ELEC-0020
PROD0021,Electronics,208.3,130.9,ELEC-0021
PROD0022,Electronics,338.23,203.21,ELEC-0022
PROD0023,Electronics,165.57,84.69,ELEC-0023
PROD0024,Electronics,458.42,189.2,ELEC-0024
PROD0025,Electronics,225.83,134.39,ELEC-0025
PROD0026,Home & Kitchen,114.13,69.95,HOME-0026
PROD0027,Home & Kitchen,113.51,72.28,HOME-0027
PROD0028,Home & Kitchen,79.76,44.35,HOME-0028
PROD0029,Home & Kitchen,128.68,74.05,HOME-0029
PROD0030,Home & Kitchen,24.29,11.94,HOME-0030
PROD0031,Home & Kitchen,87.36,51.43,HOME-0031
PROD0032,Home & Kitchen,86.1,51.18,HOME-0032
PROD0033,Home & Kitchen,127.27,59.34,HOME-0033
PROD0034,Home & Kitchen,96.25,51.91,HOME-0034
PROD0035,Home & Kitchen,41.82,21.85,HOME-0035
PROD0036,Home & Kitchen,86.8,52.46,HOME-0036
PROD0037,Home & Kitchen,74.54,31.32,HOME-0037
PROD0038,Home & Kitchen,78.22,47.67,HOME-0038
PROD0039,Home & Kitchen,89.98,43.16,HOME-0039
PROD0040,Home & Kitchen,138.94,60.98,HOME-0040
PROD0041,Home & Kitchen,55.76,28.4,HOME-0041
