cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2024-01-01,1.0,0.671,0.443,0.329,0.214,0.143,0.129,0.1,0.043,0.043,0.014,0.014,,,0.014,0.014,
2024-02-01,1.0,0.686,0.521,0.38,0.24,0.165,0.124,0.083,0.058,0.025,0.025,0.017,0.017,0.025,0.008,0.008,0.008
2024-03-01,1.0,0.513,0.477,0.36,0.279,0.259,0.127,0.127,0.056,0.015,0.005,0.015,0.01,,0.01,,
2024-04-01,1.0,0.552,0.443,0.3,0.246,0.182,0.128,0.084,0.034,0.044,0.03,0.039,0.02,0.015,,,
2024-05-01,1.0,0.555,0.424,0.328,0.253,0.21,0.135,0.087,0.061,0.048,0.039,0.031,0.022,0.004,,,
2024-06-01,1.0,0.539,0.408,0.294,0.249,0.155,0.098,0.057,0.033,0.037,0.02,0.012,0.012,,,,
2024-07-01,1.0,0.584,0.402,0.268,0.22,0.1,0.081,0.038,0.048,0.048,0.01,0.019,,,,,
2024-08-01,1.0,0.635,0.464,0.361,0.219,0.137,0.077,0.06,0.039,0.017,0.013,,,,,,
2024-09-01,1.0,0.644,0.514,0.394,0.218,0.097,0.037,0.051,0.032,0.037,,,,,,,
2024-10-01,1.0,0.639,0.472,0.253,0.167,0.108,0.083,0.042,0.014,,,,,,,,
2024-11-01,1.0,0.673,0.444,0.249,0.166,0.068,0.044,0.034,,,,,,,,,
2024-12-01,1.0,0.589,0.411,0.278,0.105,0.069,0.028,,,,,,,,,,
2025-01-01,1.0,0.658,0.439,0.224,0.117,0.056,,,,,,,,,,,
2025-02-01,1.0,0.727,0.391,0.205,0.091,,,,,,,,,,,,
2025-03-01,1.0,0.715,0.385,0.112,,,,,,,,,,,,,
2025-04-01,1.0,0.709,0.291,,,,,,,,,,,,,,
2025-05-01,1.0,0.795,,,,,,,,,,,,,,,
2025-06-01,1.0,,,,,,,,,,,,,,,,
