order_id,customer_id,order_date,region,acquisition_channel,order_revenue
ORD000001,CUST01949,2024-01-01,West,Organic Search,1126.6399999999999
ORD000003,CUST01949,2024-01-05,West,Organic Search,306.18
ORD000004,CUST01949,2024-01-14,West,Organic Search,248.83
ORD000005,CUST01949,2024-02-02,West,Organic Search,1314.6200000000001
ORD000006,CUST01949,2024-03-05,West,Organic Search,269.26
ORD000007,CUST01949,2024-03-12,West,Organic Search,228.26
ORD000008,CUST01949,2024-03-28,West,Organic Search,53.89
ORD000009,CUST02259,2024-01-28,West,Referral,653.44
ORD000010,CUST02259,2024-02-19,West,Referral,538.86
ORD000012,CUST02259,2024-03-02,West,Referral,82.2
ORD000013,CUST02259,2024-05-04,West,Referral,404.63
ORD000014,CUST02259,2024-05-22,West,Referral,546.0699999999999
ORD000015,CUST03674,2024-02-12,South,Paid Social,470.65
ORD000017,CUST03674,2024-02-19,South,Paid Social,676.8100000000001
ORD000018,CUST03674,2024-03-18,South,Paid Social,404.49
ORD000019,CUST03674,2024-04-24,South,Paid Social,734.69
ORD000020,CUST03674,2024-06-04,South,Paid Social,780.53
ORD000021,CUST01409,2024-04-30,South,Email,280.64
ORD000022,CUST01409,2024-08-11,South,Email,582.36
ORD000023,CUST01409,2024-08-16,South,Email,485.69
ORD000024,CUST01409,2025-01-01,South,Email,419.31000000000006
ORD000025,CUST02442,2024-02-02,Midwest,Organic Search,565.9300000000001
ORD000026,CUST01488,2024-03-17,South,Organic Search,217.51999999999998
ORD000027,CUST01488,2024-05-02,South,Organic Search,1652.0500000000002
ORD000028,CUST02316,2024-03-07,South,Paid Social,822.1800000000001
ORD000029,CUST02316,2024-03-09,South,Paid Social,519.51
ORD000030,CUST02316,2024-03-22,South,Paid Social,401.64000000000004
ORD000031,CUST02316,2024-03-24,South,Paid Social,676.4399999999999
ORD000033,CUST02316,2024-04-12,South,Paid Social,1478.0
ORD000034,CUST01482,2024-01-05,South,Direct,78.45
ORD000036,CUST01482,2024-01-19,South,Direct,725.29
ORD000037,CUST01482,2024-01-19,South,Direct,111.84
ORD000038,CUST01482,2024-01-20,South,Direct,72.24
ORD000039,CUST01482,2024-02-02,South,Direct,52.980000000000004
ORD000040,CUST01482,2024-02-05,South,Direct,184.81
ORD000043,CUST01739,2024-01-03,South,Organic Search,298.03999999999996
ORD000044,CUST01739,2024-01-12,South,Organic Search,1077.24
ORD000046,CUST01739,2024-01-25,South,Organic Search,1402.66
ORD000047,CUST01739,2024-01-31,South,Organic Search,336.03
ORD000048,CUST01739,2024-02-04,South,Organic Search,53.94
ORD000049,CUST01739,2024-02-15,South,Organic Search,230.07
ORD000050,CUST03191,2024-01-14,South,Paid Social,705.43
ORD000051,CUST03191,2024-02-20,South,Paid Social,560.52
ORD000052,CUST03191,2024-03-16,South,Paid Social,78.81
ORD000053,CUST03191,2024-03-24,South,Paid Social,751.9599999999999
ORD000054,CUST03191,2024-05-14,South,Paid Social,180.5
ORD000055,CUST03191,2024-05-19,South,Paid Social,70.64
ORD000056,CUST03191,2024-07-25,South,Paid Social,523.29
ORD000057,CUST03191,2024-07-28,South,Paid Social,992.35
ORD000058,CUST03191,2024-09-05,South,Paid Social,57.96
ORD000059,CUST03191,2024-11-20,South,Paid Social,272.90999999999997
ORD000063,CUST01913,2024-02-24,West,Paid Social,160.69
ORD000064,CUST01913,2024-03-13,West,Paid Social,152.76
ORD000065,CUST01913,2024-03-24,West,Paid Social,128.95
ORD000066,CUST01913,2024-04-07,West,Paid Social,1008.0899999999999
ORD000067,CUST01913,2024-04-23,West,Paid Social,303.08000000000004
ORD000068,CUST01913,2024-04-24,West,Paid Social,589.21
ORD000069,CUST01996,2024-01-03,Northeast,Paid Social,316.55
ORD000070,CUST01996,2024-07-29,Northeast,Paid Social,40.56
ORD000071,CUST01996,2024-10-08,Northeast,Paid Social,961.38
ORD000072,CUST00773,2024-07-02,West,Paid Social,786.85
ORD000073,CUST03217,2024-01-13,Midwest,Direct,476.7
ORD000074,CUST03217,2024-04-01,Midwest,Direct,1049.82
ORD000075,CUST03217,2024-06-12,Midwest,Direct,156.44
ORD000076,CUST03217,2024-06-14,Midwest,Direct,249.2
ORD000077,CUST03217,2024-09-22,Midwest,Direct,112.94999999999999
ORD000078,CUST02628,2024-04-30,Midwest,Direct,633.63
ORD000080,CUST01622,2024-01-07,Midwest,Referral,1528.3899999999999
ORD000083,CUST01622,2024-02-03,Midwest,Referral,248.01000000000002
ORD000084,CUST01622,2024-02-08,Midwest,Referral,1099.4
ORD000085,CUST01294,2024-01-05,South,Organic Search,785.55
ORD000086,CUST01294,2024-02-07,South,Organic Search,52.980000000000004
ORD000087,CUST01294,2024-03-12,South,Organic Search,413.68999999999994
ORD000088,CUST01294,2024-03-20,South,Organic Search,478.6
ORD000090,CUST01294,2024-03-21,South,Organic Search,112.08
ORD000091,CUST01294,2024-03-24,South,Organic Search,1405.01
ORD000092,CUST01294,2024-03-30,South,Organic Search,786.4099999999999
ORD000093,CUST01294,2024-04-01,South,Organic Search,428.13
ORD000094,CUST01294,2024-04-05,South,Organic Search,446.70000000000005
ORD000095,CUST01294,2024-04-12,South,Organic Search,443.06999999999994
ORD000096,CUST00901,2024-01-09,Midwest,Paid Social,612.3
ORD000097,CUST00901,2024-01-16,Midwest,Paid Social,942.31
ORD000098,CUST00901,2024-01-19,Midwest,Paid Social,283.20000000000005
ORD000099,CUST00901,2024-01-30,Midwest,Paid Social,520.74
ORD000100,CUST00901,2024-01-30,Midwest,Paid Social,221.74
ORD000101,CUST00901,2024-02-02,Midwest,Paid Social,1672.83
ORD000102,CUST00901,2024-02-02,Midwest,Paid Social,207.8
ORD000103,CUST01550,2024-07-12,West,Organic Search,260.82
ORD000104,CUST01550,2024-08-27,West,Organic Search,128.68
ORD000105,CUST01550,2024-10-29,West,Organic Search,746.5800000000002
ORD000107,CUST01550,2024-11-16,West,Organic Search,73.32000000000001
ORD000108,CUST02789,2024-01-19,Northeast,Paid Social,288.21999999999997
ORD000109,CUST02789,2024-04-22,Northeast,Paid Social,231.51
ORD000110,CUST02789,2024-04-30,Northeast,Paid Social,602.55
ORD000112,CUST02789,2024-07-16,Northeast,Paid Social,1879.46
ORD000113,CUST02789,2024-07-27,Northeast,Paid Social,192.89000000000001
ORD000114,CUST02789,2024-08-10,Northeast,Paid Social,385.62
ORD000115,CUST02789,2024-08-13,Northeast,Paid Social,909.58
ORD000117,CUST03234,2024-01-15,Midwest,Direct,488.31000000000006
ORD000118,CUST03234,2024-01-16,Midwest,Direct,836.25
ORD000119,CUST03234,2024-01-20,Midwest,Direct,881.23
ORD000120,CUST03234,2024-01-30,Midwest,Direct,189.52
ORD000121,CUST03234,2024-02-11,Midwest,Direct,213.26
ORD000122,CUST03234,2024-02-19,Midwest,Direct,8.13
ORD000123,CUST01237,2024-03-28,West,Paid Social,531.04
ORD000124,CUST01237,2024-04-14,West,Paid Social,192.94
ORD000125,CUST00381,2024-01-31,West,Referral,1739.82
ORD000126,CUST00381,2024-06-23,West,Referral,87.36
ORD000127,CUST00381,2024-08-22,West,Referral,79.03999999999999
ORD000129,CUST00381,2025-03-12,West,Referral,291.12
ORD000130,CUST00381,2025-04-13,West,Referral,301.63
ORD000131,CUST00846,2024-02-01,South,Organic Search,1200.06
ORD000132,CUST00846,2024-02-03,South,Organic Search,369.88
ORD000133,CUST00846,2024-03-08,South,Organic Search,328.18
ORD000134,CUST00846,2024-04-02,South,Organic Search,285.06
ORD000135,CUST00846,2024-05-19,South,Organic Search,343.71000000000004
ORD000136,CUST00846,2024-06-04,South,Organic Search,1012.3000000000001
ORD000137,CUST00846,2024-06-27,South,Organic Search,651.71
ORD000138,CUST00846,2024-06-28,South,Organic Search,1051.71
ORD000139,CUST00845,2024-01-04,Northeast,Email,354.84000000000003
ORD000140,CUST00845,2024-05-01,Northeast,Email,260.4
ORD000141,CUST00845,2024-07-16,Northeast,Email,1381.17
ORD000142,CUST02646,2024-01-13,West,Paid Social,657.69
ORD000143,CUST02646,2024-03-29,West,Paid Social,215.82
ORD000144,CUST01190,2024-04-04,Midwest,Email,98.28
ORD000145,CUST01190,2024-04-26,Midwest,Email,739.84
ORD000146,CUST01190,2024-05-15,Midwest,Email,318.23
ORD000147,CUST01190,2024-09-30,Midwest,Email,268.06
ORD000149,CUST01190,2025-02-02,Midwest,Email,618.39
ORD000150,CUST02401,2024-01-18,South,Paid Social,264.6
ORD000151,CUST02401,2024-01-20,South,Paid Social,420.23
ORD000152,CUST02401,2024-02-06,South,Paid Social,524.0999999999999
ORD000153,CUST02401,2024-03-27,South,Paid Social,288.9
ORD000154,CUST00465,2024-02-17,Northeast,Paid Social,308.64
ORD000155,CUST00465,2024-03-24,Northeast,Paid Social,18.2
ORD000156,CUST00465,2024-03-27,Northeast,Paid Social,395.78999999999996
ORD000157,CUST00465,2024-04-22,Northeast,Paid Social,579.14
ORD000158,CUST00465,2024-04-28,Northeast,Paid Social,241.38
ORD000159,CUST00465,2024-04-29,Northeast,Paid Social,36.12
ORD000160,CUST00465,2024-05-13,Northeast,Paid Social,375.16
ORD000162,CUST00465,2024-06-08,Northeast,Paid Social,123.06
ORD000163,CUST00465,2024-06-13,Northeast,Paid Social,135.7
ORD000164,CUST00465,2024-07-03,Northeast,Paid Social,1546.8899999999999
ORD000165,CUST00465,2024-07-26,Northeast,Paid Social,397.43
ORD000166,CUST00575,2024-02-29,South,Paid Social,633.22
ORD000167,CUST00575,2024-05-21,South,Paid Social,1425.72
ORD000169,CUST00707,2024-02-03,West,Organic Search,1556.22
ORD000170,CUST00707,2024-02-20,West,Organic Search,2019.29
ORD000171,CUST00707,2024-03-14,West,Organic Search,203.35000000000002
ORD000172,CUST00707,2024-03-20,West,Organic Search,360.53
ORD000173,CUST03399,2024-01-18,South,Referral,1433.33
ORD000174,CUST03399,2024-01-24,South,Referral,336.03
ORD000175,CUST03399,2024-01-27,South,Referral,1418.3200000000002
ORD000176,CUST03399,2024-01-27,South,Referral,1101.4
ORD000177,CUST03399,2024-02-03,South,Referral,146.82
ORD000178,CUST03399,2024-02-10,South,Referral,618.9
ORD000179,CUST03399,2024-02-13,South,Referral,1653.55
ORD000180,CUST03399,2024-02-16,South,Referral,55.59
ORD000181,CUST01279,2024-01-22,Midwest,Email,214.59
ORD000182,CUST01279,2024-01-29,Midwest,Email,324.06
ORD000183,CUST01279,2024-01-30,Midwest,Email,127.37
