customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_sum,segment
CUST00001,371,3,1941.89,1,1,2,4,Hibernating / Lost
CUST00002,57,3,2547.52,4,1,3,8,Promising / New
CUST00003,155,5,1628.91,3,3,2,8,Loyal Customers
CUST00004,250,4,2371.16,2,2,3,7,Needs Attention
CUST00005,202,2,526.86,2,1,1,4,Other
CUST00006,46,1,367.52,4,1,1,6,Promising / New
CUST00007,424,5,2461.31,1,3,3,7,At Risk
CUST00008,106,2,166.44,3,1,1,5,Promising / New
CUST00009,263,6,2438.72,2,3,3,8,Needs Attention
CUST00010,71,5,2150.21,3,3,2,8,Loyal Customers
CUST00011,203,2,1211.18,2,1,1,4,Other
CUST00012,1,4,564.74,4,2,1,7,Loyal Customers
CUST00013,40,6,2646.3,4,3,3,10,Champions
CUST00014,11,3,960.26,4,1,1,6,Promising / New
CUST00015,33,2,2000.4099999999999,4,1,2,7,Promising / New
CUST00016,70,6,3207.7799999999997,3,3,3,9,Champions
CUST00017,161,5,2453.33,2,3,3,8,Needs Attention
CUST00018,411,9,5425.92,1,4,4,9,At Risk
CUST00019,16,3,2510.39,4,1,3,8,Promising / New
CUST00020,176,8,4642.63,2,4,4,10,Needs Attention
CUST00021,69,4,728.33,3,2,1,6,Loyal Customers
CUST00022,223,6,4232.05,2,3,4,9,Needs Attention
CUST00023,253,6,3327.0699999999997,2,3,3,8,Needs Attention
CUST00024,13,6,2614.35,4,3,3,10,Champions
CUST00025,60,1,37.28,3,1,1,5,Promising / New
CUST00026,21,3,632.78,4,1,1,6,Promising / New
CUST00027,189,3,2824.79,2,1,3,6,Other
CUST00028,1,9,3675.26,4,4,4,12,Champions
CUST00029,216,2,213.97,2,1,1,4,Other
CUST00030,209,3,2270.75,2,1,2,5,Other
CUST00031,5,2,800.79,4,1,1,6,Promising / New
CUST00032,325,5,1633.7600000000002,1,3,2,6,At Risk
CUST00033,342,2,1151.0300000000002,1,1,1,3,Hibernating / Lost
CUST00034,148,6,4625.34,3,3,4,10,Champions
CUST00035,47,2,495.78,4,1,1,6,Promising / New
CUST00036,480,7,3089.56,1,4,3,8,At Risk
CUST00037,64,1,195.81,3,1,1,5,Promising / New
CUST00038,22,3,1366.99,4,1,2,7,Promising / New
CUST00039,365,4,2050.53,1,2,2,5,Hibernating / Lost
CUST00040,83,6,3416.4800000000005,3,3,3,9,Champions
CUST00041,234,1,362.16,2,1,1,4,Other
CUST00042,36,4,1853.9299999999998,4,2,2,8,Loyal Customers
CUST00043,13,3,717.1899999999999,4,1,1,6,Promising / New
CUST00044,302,5,2382.39,1,3,3,7,At Risk
CUST00045,296,3,1663.62,1,1,2,4,Hibernating / Lost
